document_id,maximal_passages,unique_words
GHD-01078,1,24
GHD-04935,1,24
GHD-00466,1,24
GHD-00602,1,24
GHD-00662,1,24
GHD-00615,1,24
GHD-00848,1,23
GHD-03490,1,23
GHD-01886,1,23
GHD-02505,1,23
CR-10.14710/ip.v6i2.43540,2,23
GHD-01609,1,23
GHD-01327,1,23
GHD-04851,1,23
GHD-05115,1,23
GHD-00200,1,23
GHD-02798,1,23
GHD-02872,1,23
GHD-02868,1,23
GHD-05173,1,22
GHD-04735,1,22
GHD-05305,1,22
10.1016/j.socscimed.2016.03.004,1,22
GHD-00825,1,22
10.1177/146499340800900104,1,22
GHD-04654,1,22
GHD-00826,1,22
GHD-00721,1,22
GHD-04182,1,22
CR-10.54945/jjia.v11i1.189,1,22
10.2471/BLT.06.039222,1,22
GHD-01714,1,21
GHD-01729,1,21
GHD-00786,1,21
GHD-02328,1,21
GHD-05124,1,21
GHD-05164,1,21
GHD-00859,1,21
GHD-04476,1,21
GHD-04411,1,21
GHD-02726,1,20
GHD-04550,1,20
GHD-00801,1,20
GHD-04511,2,20
GHD-00770,1,20
GHD-04383,1,20
GHD-02283,1,20
GHD-04245,1,20
GHD-03980,1,20
GHD-00443,1,20
GHD-03427,1,20
CR-10.22456/2238-6912.138192,2,20
GHD-03639,1,20
GHD-03607,1,20
GHD-03778,1,19
GHD-00792,1,19
GHD-00767,1,19
10.1080/14754835.2011.569295,1,19
CR-10.1590/0034-7329201900112,1,19
EP-PPR703972,1,19
GHD-00102,1,19
GHD-01054,1,18
GHD-00748,1,18
GHD-00211,1,18
GHD-05341,1,18
GHD-00456,1,18
CR-10.47706/kkifpr.2021.3.112-126,1,18
GHD-00809,1,18
GHD-05149,1,18
PMID:416458,1,18
GHD-04370,1,18
GHD-04172,1,18
GHD-04930,1,18
GHD-01939,1,18
CR-10.1177/0020702019834724,1,17
GHD-03473,1,17
GHD-00857,1,17
GHD-05176,1,17
GHD-02480,1,17
GHD-03238,1,17
GHD-01325,1,17
GHD-01526,1,16
GHD-02189,1,16
GHD-00761,1,16
CR-10.1093/ia/iiad225,1,16
GHD-00791,1,16
CR-10.3390/socsci11060259,1,16
GHD-00417,1,16
GHD-01427,1,16
GHD-03819,1,16
GHD-03657,1,16
GHD-00188,1,16
CR-10.62951/ijlcj.v1i3.119,1,16
GHD-02934,1,16
GHD-02280,1,16
